1,Dầu khí,,,,1
500,Dầu khí,Dầu khí,,,2
530,Dầu khí,Dầu khí,Sản xuất dầu khí,Sản xuất dầu khí,3
533,Dầu khí,Dầu khí,Sản xuất dầu khí,Thăm dò và sản xuất dầu khí,4
537,Dầu khí,Dầu khí,Sản xuất dầu khí,Dầu khí tích hợp,4
570,Dầu khí,Dầu khí,"Thiết bị, dịch vụ và phân phối dầu khí","Thiết bị, dịch vụ và phân phối dầu khí",3
573,Dầu khí,Dầu khí,"Thiết bị, dịch vụ và phân phối dầu khí","Thiết bị, dịch vụ khai thác dầu mỏ",4
577,Dầu khí,Dầu khí,"Thiết bị, dịch vụ và phân phối dầu khí",Ống dẫn dầu khí,4
580,Dầu khí,Dầu khí,Năng lượng thay thế,Năng lượng thay thế,3
583,Dầu khí,Dầu khí,Năng lượng thay thế,Thiết bị năng lượng tái tạo,4
587,Dầu khí,Dầu khí,Năng lượng thay thế,Nhiên liệu thay thế,4
1000,Vật liệu cơ bản,,,,1
1300,Vật liệu cơ bản,Hóa chất,,Hóa chất,2
1350,Vật liệu cơ bản,Hóa chất,Hóa chất,Hóa chất,3
1353,Vật liệu cơ bản,Hóa chất,Hóa chất,"Hóa chất cơ bản - Sản phẩm nhựa, cao su, hóa chất",4
1357,Vật liệu cơ bản,Hóa chất,Hóa chất,Hóa chất chuyên dụng,4
1700,Vật liệu cơ bản,Tài nguyên cơ bản,,,2
1730,Vật liệu cơ bản,Tài nguyên cơ bản,Lâm nghiệp và giấy,Lâm nghiệp và giấy,3
1733,Vật liệu cơ bản,Tài nguyên cơ bản,Lâm nghiệp và giấy,"Trồng rừng, khai thác gỗ và kinh doanh lâm sản",4
1737,Vật liệu cơ bản,Tài nguyên cơ bản,Lâm nghiệp và giấy,Giấy,4
1750,Vật liệu cơ bản,Tài nguyên cơ bản,Kim loại công nghiệp,Kim loại công nghiệp,3
1753,Vật liệu cơ bản,Tài nguyên cơ bản,Kim loại công nghiệp,Nhôm,4
1755,Vật liệu cơ bản,Tài nguyên cơ bản,Kim loại công nghiệp,Kim loại màu,4
1757,Vật liệu cơ bản,Tài nguyên cơ bản,Kim loại công nghiệp,Thép,4
1770,Vật liệu cơ bản,Tài nguyên cơ bản,Khai khoáng,Khai khoáng,3
1771,Vật liệu cơ bản,Tài nguyên cơ bản,Khai khoáng,Khai thác than,4
1773,Vật liệu cơ bản,Tài nguyên cơ bản,Khai khoáng,Kim cương và đá quý,4
1775,Vật liệu cơ bản,Tài nguyên cơ bản,Khai khoáng,Khai khoáng chung,4
1777,Vật liệu cơ bản,Tài nguyên cơ bản,Khai khoáng,Khai thác vàng,4
1779,Vật liệu cơ bản,Tài nguyên cơ bản,Khai khoáng,Khai thác bạch kim và các kim loại quý khác,4
2000,Công nghiệp,,,,1
2300,Công nghiệp,Xây dựng và vật liệu xây dựng,,,2
2350,Công nghiệp,Xây dựng và vật liệu xây dựng,Xây dựng và vật liệu xây dựng,Xây dựng và vật liệu xây dựng,3
2353,Công nghiệp,Xây dựng và vật liệu xây dựng,Xây dựng và vật liệu xây dựng,"Thiết bị, vật liệu xây dựng",4
2357,Công nghiệp,Xây dựng và vật liệu xây dựng,Xây dựng và vật liệu xây dựng,"Xây dựng, xây lắp",4
2700,Công nghiệp,Các sản phẩm và dịch vụ công nghiệp,,,2
